Links,Images,Meta Name Tags,Avg. Meta Tag Length
56,7,1,151
182,59,2,54
20,1,1,159
336,112,1,126
65,3,1,152
52,8,0,0
14,9,1,145
14,0,1,71
321,1,1,130
52,24,1,153
17,42,1,154
184,12,1,133
87,0,0,0
13,5,1,147
76,13,2,155
22,1,0,0
136,50,1,88
54,6,1,162
292,17,1,154
8,3,0,0
133,28,1,167
353,63,1,183
0,0,0,0
79,6,1,89
94,22,1,160
102,19,0,0
130,31,1,143
9,1,1,158
17,42,1,154
138,6,1,136
67,31,0,0
22,1,1,159
263,107,1,27
116,5,0,0
77,28,1,149
52,24,1,153
423,52,1,128
57,33,1,139
22,1,1,159
84,7,1,158
29,2,0,0
210,20,1,117
66,7,1,114
7,2,1,102
88,33,1,157
84,7,1,158
182,37,1,110
683,3,1,95
0,1,1,107
392,103,1,136
331,71,1,92
94,31,1,155
21,1,1,159
176,31,1,129
44,19,1,152
39,0,1,157
137,26,1,191
429,19,1,163
223,1,1,126
195,37,1,151
294,65,2,211
194,19,1,149
192,36,0,0
64,23,1,150
101,18,1,114
184,82,1,171
347,114,1,176
63,7,2,155
33,3,1,103
64,23,1,150
230,30,1,163
54,7,1,11
1,0,0,0
364,7,1,140
60,12,1,161
187,22,1,635
52,4,0,0
184,12,1,133
631,142,1,93
59,55,1,284
23,16,1,95
17,30,1,444
235,25,1,122
61,6,1,158
28,9,1,217
75,0,0,0
49,15,1,149
423,30,1,179
22,1,1,159
40,2,1,136
0,0,0,0
31,14,1,167
167,45,1,130
338,7,1,43
192,67,1,117
201,148,1,168
0,0,1,131
147,20,0,0
106,5,0,0
423,52,1,128
315,68,1,133
22,1,1,159
119,29,1,196
0,0,0,0
0,0,0,0
227,44,1,63
22,1,1,159
111,8,1,152
0,0,1,174
2077,179,1,331
21,1,1,159
2,1,1,158
39,15,1,124
135,0,1,176
0,0,1,172
55,21,1,158
308,147,1,99
312,6,1,545
91,34,1,40
43,3,1,78
8,3,0,0
124,71,1,73
162,71,0,0
156,54,1,143
63,0,0,0
811,215,1,333
363,83,1,156
127,17,0,0
154,2,1,140
8,4,0,0
261,60,1,201
64,2,1,134
169,36,1,172
1,1,1,86
19,6,1,70
516,20,1,140
743,459,1,130
295,143,1,152
121,37,1,227
43,12,1,126
94,14,1,0
337,105,1,161
818,96,1,183
157,20,1,116
22,6,1,264
271,9,1,69
166,59,1,335
768,137,1,152
136,2,1,130
93,19,0,0
266,4,1,288
66,46,1,174
98,8,0,0
8,4,1,157
146,40,1,66
111,5,1,128
72,5,1,131
419,32,1,100
97,11,1,120
485,17,1,139
52,24,1,153
285,59,1,193
39,7,1,138
115,19,1,98
98,32,0,0
151,22,1,155
22,1,1,159
151,22,1,155
111,0,1,65
0,0,0,0
203,2,1,68
60,34,1,117
107,8,1,131
48,28,1,122
77,12,1,170
561,109,0,0
22,1,1,159
184,144,1,160
585,57,1,149
113,39,1,75
771,125,1,127
77,19,1,158
141,5,1,129
666,141,1,114
247,10,1,80
146,27,1,163
336,95,1,108
0,0,0,0
470,27,1,148
28,7,0,0
21,1,1,159
148,13,1,153
288,2,1,106
278,60,1,147
125,26,1,168
339,35,1,82
17,0,1,57
158,4,0,0
839,142,1,254
341,37,1,24
47,13,1,221
14,6,0,0
170,15,1,177
314,17,0,0
56,7,1,151
24,4,1,154
119,8,0,0
107,13,1,149
124,3,0,0
112,6,1,118
335,38,1,164
471,34,1,215
115,32,1,163
139,5,1,24
123,15,1,143
564,37,1,143
137,13,0,0
107,16,0,0
324,54,1,191
111,8,1,155
56,7,1,151
26,2,1,53
68,6,1,146
22,1,1,159
628,223,1,50
470,306,1,108
276,28,1,316
167,12,0,0
108,8,0,0
317,95,1,425
160,110,1,140
45,1,0,0
32,12,1,148
70,29,1,154
128,32,1,147
58,123,0,0
140,19,1,70
457,87,1,300
323,11,1,106
41,1,0,0
283,56,1,134
145,15,1,152
389,94,1,106
236,172,1,153
143,60,1,152
79,14,0,0
696,218,1,76
165,36,1,219
1,1,1,53
793,78,1,318
72,11,1,181
130,24,1,144
186,9,1,174
151,26,1,193
234,24,1,73
56,7,1,151
78,0,1,183
197,16,1,88
57,7,1,79
21,1,1,159
1121,19,1,152
224,67,1,118
319,61,0,0
153,28,1,160
242,26,1,123
52,4,1,145
485,46,1,137
201,26,1,155
29,0,1,158
1034,189,1,164
401,61,1,317
249,4,0,0
108,9,1,186
29,0,1,241
124,16,1,143
134,0,0,0
0,0,1,150
79,25,1,169
332,121,1,153
47,22,0,0
97,21,1,151
261,35,1,123
98,29,0,0
785,15,1,154
111,9,1,142
52,30,1,138
88,12,1,220
154,17,1,631
163,16,1,0
180,26,1,420
442,37,1,269
770,212,1,174
106,30,0,0
206,0,1,80
96,23,1,125
297,55,1,80
65,1,1,133
21,1,0,0
1,0,0,0
16,5,1,189
266,114,1,176
435,148,1,155
74,35,1,150
1,0,0,0
112,31,1,109
165,36,1,219
480,171,1,156
303,93,0,0
174,84,1,196
167,40,0,0
167,24,1,123
110,42,1,162
340,32,1,50
175,22,1,149
157,21,1,140
66,9,1,162
433,51,1,97
326,39,1,148
86,5,2,78
600,12,0,0
85,32,1,148
168,27,1,104
241,9,1,169
196,19,1,149
151,71,1,150
41,51,0,0
89,13,2,153
6,0,0,0
277,96,0,0
18,5,1,149
6,0,1,42
101,16,1,163
22,1,1,159
0,0,1,161
32,11,1,41
189,25,0,0
14,2,1,37
467,39,1,133
64,1,0,0
229,35,1,136
0,0,0,0
99,12,1,159
